operation_id,actor,capability,consumer,request_schema,response_schema,use_case,contract_test,status
billing.overdue-payment.read,authenticated user or system callback,billing.read,screen:70.06 | e2e:E2E_90_18_01_alert-billingowy | e2e:E2E_90_18_02_zalegla-platnosc,BillingOverduePaymentReadRequest,BillingOverduePaymentReadResponse,Odczyt view modelu powierzchni Zaległa płatność; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-overdue-payment-read.test,used
billing.overdue.resolve,authenticated user or system callback,billing.write,e2e:E2E_90_18_05_odblokowanie,BillingOverdueResolveRequest,BillingOverdueResolveResponse,odblokowanie po zaległej płatności,contract.billing-overdue-resolve.test,used
billing.payment.method.update,authenticated user or system callback,billing.write,e2e:E2E_90_17_05_platnosc | e2e:E2E_90_18_04_metoda-platnosci,BillingPaymentMethodUpdateRequest,BillingPaymentMethodUpdateResponse,aktualizacja metody płatności,contract.billing-payment-method-update.test,used
billing.payments.read,authenticated user or system callback,billing.read,screen:70.05,BillingPaymentsReadRequest,BillingPaymentsReadResponse,Odczyt view modelu powierzchni Płatności; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-payments-read.test,used
billing.pilot-to-subscription.read,authenticated user or system callback,billing.read,screen:70.09,BillingPilotToSubscriptionReadRequest,BillingPilotToSubscriptionReadResponse,Odczyt view modelu powierzchni Pilot do abonamentu; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-pilot-to-subscription-read.test,used
billing.pilot.read,authenticated user or system callback,billing.read,e2e:E2E_90_02_03_karta-pilotazu | e2e:E2E_90_17_01_pilot,BillingPilotReadRequest,BillingPilotReadResponse,pilot i dowód wartości,contract.billing-pilot-read.test,used
billing.plan.select,authenticated user or system callback,billing.write,e2e:E2E_90_17_04_plan,BillingPlanSelectRequest,BillingPlanSelectResponse,wybór planu,contract.billing-plan-select.test,used
billing.plans.read,authenticated user or system callback,billing.read,screen:70.03,BillingPlansReadRequest,BillingPlansReadResponse,Odczyt view modelu powierzchni Plany; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-plans-read.test,used
billing.read,authenticated user or system callback,billing.read,contract-test:billing-read,BillingReadRequest,BillingReadResponse,bazowy odczyt domeny billing,contract.billing-read.test,support-contract
billing.subscription.activate,authenticated user or system callback,billing.write,e2e:E2E_90_17_06_abonament,BillingSubscriptionActivateRequest,BillingSubscriptionActivateResponse,aktywacja abonamentu,contract.billing-subscription-activate.test,used
billing.subscription.read,authenticated user or system callback,billing.read,screen:70.01,BillingSubscriptionReadRequest,BillingSubscriptionReadResponse,Odczyt view modelu powierzchni Subskrypcja; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-subscription-read.test,used
billing.usage-limits.read,authenticated user or system callback,billing.read,screen:70.02 | e2e:E2E_90_17_02_uzycie,BillingUsageLimitsReadRequest,BillingUsageLimitsReadResponse,Odczyt view modelu powierzchni Użycie i limity; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.billing-usage-limits-read.test,used
billing.write,authenticated user or system callback,billing.write,contract-test:billing-write,BillingWriteRequest,BillingWriteResponse,bazowa operacja zapisu domeny billing,contract.billing-write.test,support-contract
campaigns.attribution-sales.read,authenticated user or system callback,campaigns.read,screen:31.04 | e2e:E2E_90_10_02_analiza-roas,CampaignsAttributionSalesReadRequest,CampaignsAttributionSalesReadResponse,Odczyt view modelu powierzchni Atrybucja i sprzedaż; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.campaigns-attribution-sales-read.test,used
campaigns.budget.change.propose,authenticated user or system callback,campaigns.write,contract-test:campaigns-budget-change-propose,CampaignsBudgetChangeProposeRequest,CampaignsBudgetChangeProposeResponse,propozycja zmiany budżetu,contract.campaigns-budget-change-propose.test,support-contract
campaigns.budget.read,authenticated user or system callback,campaigns.read,screen:31.05 | e2e:E2E_90_10_03_budzet,CampaignsBudgetReadRequest,CampaignsBudgetReadResponse,Odczyt view modelu powierzchni Budżet; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.campaigns-budget-read.test,used
campaigns.budget.recommendation.read,authenticated user or system callback,campaigns.read,e2e:E2E_90_10_04_rekomendacja,CampaignsBudgetRecommendationReadRequest,CampaignsBudgetRecommendationReadResponse,rekomendacja budżetowa,contract.campaigns-budget-recommendation-read.test,used
campaigns.detail.read,authenticated user or system callback,campaigns.read,screen:31.03,CampaignsDetailReadRequest,CampaignsDetailReadResponse,Odczyt view modelu powierzchni Szczegóły kampanii; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.campaigns-detail-read.test,used
campaigns.diagnostics.read,authenticated user or system callback,campaigns.read,screen:31.06,CampaignsDiagnosticsReadRequest,CampaignsDiagnosticsReadResponse,Odczyt view modelu powierzchni Diagnostyka; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.campaigns-diagnostics-read.test,used
campaigns.list.read,authenticated user or system callback,campaigns.read,screen:31.02,CampaignsListReadRequest,CampaignsListReadResponse,Odczyt view modelu powierzchni Lista kampanii; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.campaigns-list-read.test,used
campaigns.overview.read,authenticated user or system callback,campaigns.read,screen:31.01 | e2e:E2E_90_10_01_kampanie,CampaignsOverviewReadRequest,CampaignsOverviewReadResponse,Odczyt view modelu powierzchni Przegląd; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.campaigns-overview-read.test,used
campaigns.read,authenticated user or system callback,campaigns.read,contract-test:campaigns-read,CampaignsReadRequest,CampaignsReadResponse,bazowy odczyt domeny campaigns,contract.campaigns-read.test,support-contract
campaigns.recommendations.read,authenticated user or system callback,campaigns.read,screen:31.07,CampaignsRecommendationsReadRequest,CampaignsRecommendationsReadResponse,Odczyt view modelu powierzchni Rekomendacje — kontekst domenowy; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.campaigns-recommendations-read.test,used
campaigns.write,authenticated user or system callback,campaigns.write,contract-test:campaigns-write,CampaignsWriteRequest,CampaignsWriteResponse,bazowa operacja zapisu domeny campaigns,contract.campaigns-write.test,support-contract
command-center.ai-recommendations.read,authenticated user or system callback,analytics.read,screen:30.11 | e2e:E2E_90_02_06_pierwszy-insight,CommandCenterAiRecommendationsReadRequest,CommandCenterAiRecommendationsReadResponse,Odczyt view modelu powierzchni Rekomendacje AI — skrót; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-ai-recommendations-read.test,used
command-center.attention.queue.read,authenticated user or system callback,analytics.read,screen:30.02 | e2e:E2E_90_09_02_kolejka-uwagi,CommandCenterAttentionQueueReadRequest,CommandCenterAttentionQueueReadResponse,Odczyt view modelu powierzchni Kolejka uwagi; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-attention-queue-read.test,used
command-center.customers-summary.read,authenticated user or system callback,analytics.read,screen:30.09,CommandCenterCustomersSummaryReadRequest,CommandCenterCustomersSummaryReadResponse,Odczyt view modelu powierzchni Klienci; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-customers-summary-read.test,used
command-center.drivers.read,authenticated user or system callback,analytics.read,screen:30.05,CommandCenterDriversReadRequest,CommandCenterDriversReadResponse,Odczyt view modelu powierzchni Drivery wyniku; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-drivers-read.test,used
command-center.funnel.read,authenticated user or system callback,analytics.read,screen:30.10,CommandCenterFunnelReadRequest,CommandCenterFunnelReadResponse,Odczyt view modelu powierzchni Lejek; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-funnel-read.test,used
command-center.kpi.read,authenticated user or system callback,analytics.read,screen:30.03 | e2e:E2E_90_01_08_pierwszy-kpi | e2e:E2E_90_04_01_kpi | e2e:E2E_90_14_01_kpi,CommandCenterKpiReadRequest,CommandCenterKpiReadResponse,Odczyt view modelu powierzchni KPI; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-kpi-read.test,used
command-center.overview.read,authenticated user or system callback,analytics.read,screen:30.01 | e2e:E2E_90_01_09_centrum-dowodzenia | e2e:E2E_90_03_01_aktywny-modul | e2e:E2E_90_03_05_zachowanie-modulu-albo-fallback,CommandCenterOverviewReadRequest,CommandCenterOverviewReadResponse,Odczyt view modelu powierzchni Widok główny; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-overview-read.test,used
command-center.plan-performance.read,authenticated user or system callback,analytics.read,screen:30.04 | e2e:E2E_90_04_02_wykres | e2e:E2E_90_13_06_wynik | e2e:E2E_90_15_07_baseline | e2e:E2E_90_17_03_dowod-wartosci,CommandCenterPlanPerformanceReadRequest,CommandCenterPlanPerformanceReadResponse,Odczyt view modelu powierzchni Plan vs wynik; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-plan-performance-read.test,used
command-center.products-summary.read,authenticated user or system callback,analytics.read,screen:30.08,CommandCenterProductsSummaryReadRequest,CommandCenterProductsSummaryReadResponse,Odczyt view modelu powierzchni Produkty; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-products-summary-read.test,used
command-center.read,authenticated user or system callback,command-center.read,contract-test:command-center-read,CommandCenterReadRequest,CommandCenterReadResponse,bazowy odczyt domeny command-center,contract.command-center-read.test,support-contract
command-center.sales-signals.read,authenticated user or system callback,analytics.read,screen:30.12 | e2e:E2E_90_09_01_sygnal-w-centrum-dowodzenia,CommandCenterSalesSignalsReadRequest,CommandCenterSalesSignalsReadResponse,Odczyt view modelu powierzchni Sygnały sprzedażowe; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-sales-signals-read.test,used
command-center.sales-sources.read,authenticated user or system callback,analytics.read,screen:30.06,CommandCenterSalesSourcesReadRequest,CommandCenterSalesSourcesReadResponse,Odczyt view modelu powierzchni Źródła sprzedaży; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-sales-sources-read.test,used
command-center.traffic-summary.read,authenticated user or system callback,analytics.read,screen:30.07,CommandCenterTrafficSummaryReadRequest,CommandCenterTrafficSummaryReadResponse,Odczyt view modelu powierzchni Ruch; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-traffic-summary-read.test,used
command-center.waterfall.read,authenticated user or system callback,analytics.read,screen:30.13,CommandCenterWaterfallReadRequest,CommandCenterWaterfallReadResponse,Odczyt view modelu powierzchni Waterfall; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.command-center-waterfall-read.test,used
command-center.write,authenticated user or system callback,command-center.write,contract-test:command-center-write,CommandCenterWriteRequest,CommandCenterWriteResponse,bazowa operacja zapisu domeny command-center,contract.command-center-write.test,support-contract
company.draft.update,authenticated user or system callback,company.write,auth:auth-09 | auth:auth-10,CompanyDraftUpdateRequest,CompanyDraftUpdateResponse,aktualizacja szkicu firmy,contract.company-draft-update.test,used
company.lookup,authenticated user or system callback,company.read,e2e:E2E_90_02_02_identyfikacja-firmy | auth:auth-07 | auth:auth-08,CompanyLookupRequest,CompanyLookupResponse,wyszukanie firmy,contract.company-lookup.test,used
customers.cohorts.read,authenticated user or system callback,customers.read,screen:34.03 | e2e:E2E_90_11_03_kohorta,CustomersCohortsReadRequest,CustomersCohortsReadResponse,Odczyt view modelu powierzchni Kohorty; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.customers-cohorts-read.test,used
customers.identity-conflicts.read,authenticated user or system callback,customers.read,screen:34.05,CustomersIdentityConflictsReadRequest,CustomersIdentityConflictsReadResponse,Odczyt view modelu powierzchni Konflikty tożsamości; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.customers-identity-conflicts-read.test,used
customers.impact.read,authenticated user or system callback,customers.read,screen:34.07,CustomersImpactReadRequest,CustomersImpactReadResponse,Odczyt view modelu powierzchni Analiza wpływu; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.customers-impact-read.test,used
customers.overview.read,authenticated user or system callback,customers.read,screen:34.01 | e2e:E2E_90_11_01_klienci,CustomersOverviewReadRequest,CustomersOverviewReadResponse,Odczyt view modelu powierzchni Przegląd; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.customers-overview-read.test,used
customers.privacy.read,authenticated user or system callback,customers.read,screen:34.06,CustomersPrivacyReadRequest,CustomersPrivacyReadResponse,Odczyt view modelu powierzchni Prywatność; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.customers-privacy-read.test,used
customers.pseudonymized-detail.read,authenticated user or system callback,customers.read,screen:34.04,CustomersPseudonymizedDetailReadRequest,CustomersPseudonymizedDetailReadResponse,Odczyt view modelu powierzchni Szczegóły pseudonimizowane; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.customers-pseudonymized-detail-read.test,used
customers.read,authenticated user or system callback,customers.read,contract-test:customers-read,CustomersReadRequest,CustomersReadResponse,bazowy odczyt domeny customers,contract.customers-read.test,support-contract
customers.segment.analyze,authenticated user or system callback,customers.read,e2e:E2E_90_11_02_segment,CustomersSegmentAnalyzeRequest,CustomersSegmentAnalyzeResponse,analiza segmentu,contract.customers-segment-analyze.test,used
customers.segments.read,authenticated user or system callback,customers.read,screen:34.02,CustomersSegmentsReadRequest,CustomersSegmentsReadResponse,Odczyt view modelu powierzchni Segmenty; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.customers-segments-read.test,used
customers.write,authenticated user or system callback,customers.write,contract-test:customers-write,CustomersWriteRequest,CustomersWriteResponse,bazowa operacja zapisu domeny customers,contract.customers-write.test,support-contract
data-quality.center.read,authenticated user or system callback,data-quality.read,screen:41.01,DataQualityCenterReadRequest,DataQualityCenterReadResponse,Odczyt view modelu powierzchni Centrum jakości; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-center-read.test,used
data-quality.conflicts.read,authenticated user or system callback,data-quality.read,screen:41.06 | e2e:E2E_90_04_07_problem-danych | e2e:E2E_90_07_02_problem-jakosci | e2e:E2E_90_08_03_konflikt,DataQualityConflictsReadRequest,DataQualityConflictsReadResponse,Odczyt view modelu powierzchni Konflikty; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-conflicts-read.test,used
data-quality.dataset.read,authenticated user or system callback,data-quality.read,screen:41.02,DataQualityDatasetReadRequest,DataQualityDatasetReadResponse,Odczyt view modelu powierzchni Zbiór danych; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-dataset-read.test,used
data-quality.lineage.read,authenticated user or system callback,data-quality.read,screen:41.03 | e2e:E2E_90_04_06_lineage | e2e:E2E_90_07_03_lineage,DataQualityLineageReadRequest,DataQualityLineageReadResponse,Odczyt view modelu powierzchni Pochodzenie danych; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-lineage-read.test,used
data-quality.manual-review.read,authenticated user or system callback,data-quality.read,screen:41.07,DataQualityManualReviewReadRequest,DataQualityManualReviewReadResponse,Odczyt view modelu powierzchni Przegląd ręczny; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-manual-review-read.test,used
data-quality.manual-review.submit,authenticated user or system callback,data-quality.write,e2e:E2E_90_07_05_przeglad-reczny | e2e:E2E_90_08_04_przeglad-reczny,DataQualityManualReviewSubmitRequest,DataQualityManualReviewSubmitResponse,zatwierdzenie przeglądu ręcznego,contract.data-quality-manual-review-submit.test,used
data-quality.read,authenticated user or system callback,data-quality.read,contract-test:data-quality-read,DataQualityReadRequest,DataQualityReadResponse,bazowy odczyt domeny data-quality,contract.data-quality-read.test,support-contract
data-quality.readiness.read,authenticated user or system callback,data-quality.read,e2e:E2E_90_02_05_dane-czesciowe | e2e:E2E_90_05_06_dane-czesciowe | e2e:E2E_90_05_07_gotowosc | e2e:E2E_90_07_01_status-danych | e2e:E2E_90_07_07_gotowosc-poprawiona,DataQualityReadinessReadRequest,DataQualityReadinessReadResponse,odczyt readiness danych,contract.data-quality-readiness-read.test,used
data-quality.reconciliation.confirm,authenticated user or system callback,data-quality.write,e2e:E2E_90_08_06_rekoncyliacja,DataQualityReconciliationConfirmRequest,DataQualityReconciliationConfirmResponse,potwierdzenie rekoncyliacji,contract.data-quality-reconciliation-confirm.test,used
data-quality.reconciliation.read,authenticated user or system callback,data-quality.read,screen:41.09,DataQualityReconciliationReadRequest,DataQualityReconciliationReadResponse,Odczyt view modelu powierzchni Rekoncyliacja; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-reconciliation-read.test,used
data-quality.reprocess.start,authenticated user or system callback,data-quality.write,e2e:E2E_90_07_06_ponowne-przetwarzanie | e2e:E2E_90_08_05_ponowne-przetwarzanie,DataQualityReprocessStartRequest,DataQualityReprocessStartResponse,ponowne przetwarzanie danych,contract.data-quality-reprocess-start.test,used
data-quality.reprocessing.read,authenticated user or system callback,data-quality.read,screen:41.08,DataQualityReprocessingReadRequest,DataQualityReprocessingReadResponse,Odczyt view modelu powierzchni Ponowne przetwarzanie; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-reprocessing-read.test,used
data-quality.source-overlap.read,authenticated user or system callback,data-quality.read,screen:41.04,DataQualitySourceOverlapReadRequest,DataQualitySourceOverlapReadResponse,Odczyt view modelu powierzchni Nakładanie źródeł; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-source-overlap-read.test,used
data-quality.source-priority.read,authenticated user or system callback,data-quality.read,screen:41.05 | e2e:E2E_90_07_04_nadrzednosc-zrodla,DataQualitySourcePriorityReadRequest,DataQualitySourcePriorityReadResponse,Odczyt view modelu powierzchni Nadrzędność źródła; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.data-quality-source-priority-read.test,used
data-quality.write,authenticated user or system callback,data-quality.write,contract-test:data-quality-write,DataQualityWriteRequest,DataQualityWriteResponse,bazowa operacja zapisu domeny data-quality,contract.data-quality-write.test,support-contract
decisions.action-brief.read,authenticated user or system callback,decisions.read,screen:80.05,DecisionsActionBriefReadRequest,DecisionsActionBriefReadResponse,Odczyt view modelu powierzchni Brief działania; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-action-brief-read.test,used
decisions.action-detail.read,authenticated user or system callback,decisions.read,screen:80.06 | e2e:E2E_90_13_04_dzialanie,DecisionsActionDetailReadRequest,DecisionsActionDetailReadResponse,Odczyt view modelu powierzchni Szczegóły działania; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-action-detail-read.test,used
decisions.action-library.read,authenticated user or system callback,decisions.read,screen:80.08,DecisionsActionLibraryReadRequest,DecisionsActionLibraryReadResponse,Odczyt view modelu powierzchni Biblioteka działań; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-action-library-read.test,used
decisions.action.brief.create,authenticated user or system callback,decisions.write,e2e:E2E_90_11_06_dzialanie | e2e:E2E_90_12_06_dzialanie-marketingowe | e2e:E2E_90_13_03_brief | e2e:E2E_90_15_06_propozycja-dzialania,DecisionsActionBriefCreateRequest,DecisionsActionBriefCreateResponse,utworzenie briefu działania,contract.decisions-action-brief-create.test,used
decisions.center.read,authenticated user or system callback,decisions.read,screen:80.01 | e2e:E2E_90_15_04_review,DecisionsCenterReadRequest,DecisionsCenterReadResponse,Odczyt view modelu powierzchni Centrum decyzji; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-center-read.test,used
decisions.decision.record,authenticated user or system callback,decisions.write,e2e:E2E_90_09_05_decyzja | e2e:E2E_90_10_05_zatwierdzenie | e2e:E2E_90_11_05_decyzja | e2e:E2E_90_13_02_decyzja | e2e:E2E_90_15_05_decyzja,DecisionsDecisionRecordRequest,DecisionsDecisionRecordResponse,zapis decyzji,contract.decisions-decision-record.test,used
decisions.measurement.read,authenticated user or system callback,decisions.read,screen:80.07 | e2e:E2E_90_09_06_pomiar | e2e:E2E_90_10_06_pomiar-rezultatu | e2e:E2E_90_13_05_pomiar | e2e:E2E_90_15_08_pomiar | e2e:E2E_90_16_11_outcome,DecisionsMeasurementReadRequest,DecisionsMeasurementReadResponse,Odczyt view modelu powierzchni Pomiar; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-measurement-read.test,used
decisions.observation.create,authenticated user or system callback,decisions.write,e2e:E2E_90_13_01_obserwacja,DecisionsObservationCreateRequest,DecisionsObservationCreateResponse,utworzenie obserwacji,contract.decisions-observation-create.test,used
decisions.observations.read,authenticated user or system callback,decisions.read,screen:80.02,DecisionsObservationsReadRequest,DecisionsObservationsReadResponse,Odczyt view modelu powierzchni Obserwacje; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-observations-read.test,used
decisions.recommendation.read,authenticated user or system callback,decisions.read,e2e:E2E_90_02_07_rekomendacja | e2e:E2E_90_09_04_rekomendacja-papa | e2e:E2E_90_11_04_rekomendacja | e2e:E2E_90_12_05_rekomendacja | e2e:E2E_90_15_01_rekomendacja | e2e:E2E_90_15_02_warianty,DecisionsRecommendationReadRequest,DecisionsRecommendationReadResponse,odczyt rekomendacji,contract.decisions-recommendation-read.test,used
decisions.registry.read,authenticated user or system callback,decisions.read,screen:80.04 | e2e:E2E_90_13_07_wniosek,DecisionsRegistryReadRequest,DecisionsRegistryReadResponse,Odczyt view modelu powierzchni Rejestr decyzji; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-registry-read.test,used
decisions.rekomendacje.read,authenticated user or system callback,decisions.read,screen:80.03,DecisionsRekomendacjeReadRequest,DecisionsRekomendacjeReadResponse,Odczyt view modelu powierzchni Rekomendacje; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-rekomendacje-read.test,used
