entity,used_by_count,documents
propozycja działania. Źródła: snapshot kontekstu,17,15-papa-asystent-i-laboratorium-ai/README.md
provider,10,13-integracje-i-synchronizacja/README.md
provider płatności,10,17-subskrypcja-i-platnosci/README.md
płatności,8,09-zamowienia/README.md
płatność,8,09-zamowienia/README.md
refund,8,09-zamowienia/README.md
rejestr działań,10,18-wsparcie-marketingowe-decyzje-dzialania/README.md
rejestr reguł,10,14-jakosc-danych-i-integralnosc/README.md
rejestr sesji,10,16-ustawienia-zespol-bezpieczenstwo/README.md
rekomendacja,27,15-papa-asystent-i-laboratorium-ai/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md
rekoncyliacja. Źródła: source layer,10,14-jakosc-danych-i-integralnosc/README.md
rola,10,16-ustawienia-zespol-bezpieczenstwo/README.md
rozmowa,17,15-papa-asystent-i-laboratorium-ai/README.md
ruch,14,07-centrum-dowodzenia/README.md
segment,8,11-klienci/README.md
segmenty klientów,14,07-centrum-dowodzenia/README.md
sesja,19,12-ruch-i-lejek/README.md | 16-ustawienia-zespol-bezpieczenstwo/README.md
source layer,10,13-integracje-i-synchronizacja/README.md
sprawa wsparcia,6,19-centrum-pomocy/README.md
sprzedaż,9,10-produkty/README.md
strona wejścia. Źródła: GA4,9,12-ruch-i-lejek/README.md
subskrypcja,10,17-subskrypcja-i-platnosci/README.md
sygnał,14,07-centrum-dowodzenia/README.md
synchronizacja,10,13-integracje-i-synchronizacja/README.md
system wsparcia,6,19-centrum-pomocy/README.md
tenant,10,16-ustawienia-zespol-bezpieczenstwo/README.md
token. Źródła: OAuth provider,10,13-integracje-i-synchronizacja/README.md
tożsamość,8,11-klienci/README.md
uwaga,14,07-centrum-dowodzenia/README.md
wariant,9,10-produkty/README.md
warstwa kanoniczna,8,09-zamowienia/README.md
warstwa tożsamości,8,11-klienci/README.md
wniosek prywatności. Źródła: zamówienia,8,11-klienci/README.md
workspace,10,16-ustawienia-zespol-bezpieczenstwo/README.md
wynik wyszukiwania,6,19-centrum-pomocy/README.md
zakres,10,13-integracje-i-synchronizacja/README.md
zamówienia kanoniczne,17,08-kampanie-platne/README.md | 12-ruch-i-lejek/README.md
zamówienie,8,09-zamowienia/README.md
załącznik. Źródła: baza wiedzy,6,19-centrum-pomocy/README.md
zdarzenia web,9,12-ruch-i-lejek/README.md
zdarzenie,9,12-ruch-i-lejek/README.md
zdarzenie audytowe. Źródła: IAM,10,16-ustawienia-zespol-bezpieczenstwo/README.md
zdarzenie fulfillment. Źródła: sklep D2C,8,09-zamowienia/README.md
zgody,8,11-klienci/README.md
