story_title,document,status,implementation_note,fixture_id,states,play_steps,visual_assertions,implementation_status,screen_id
10 Komponenty bazowe/Tabela bazowa,04-komponenty-bazowe/10-07-tabela-bazowa.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/011-10-07-tabela-bazowa.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty bazowe/Ładowanie i postęp,04-komponenty-bazowe/10-06-ladowanie-i-postep.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/012-10-06-ladowanie-i-postep.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/AttributionComparison,04-komponenty-domenowe/attribution-comparison.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/013-attribution-comparison.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/BudgetPacing,04-komponenty-domenowe/budget-pacing.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/014-budget-pacing.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/CohortMatrix,04-komponenty-domenowe/cohort-matrix.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/015-cohort-matrix.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/CustomerSegments,04-komponenty-domenowe/customer-segments.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/016-customer-segments.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/DataStatusBanner,04-komponenty-domenowe/data-status-banner.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/017-data-status-banner.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/DecisionQueue,04-komponenty-domenowe/decision-queue.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/018-decision-queue.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/EvidencePanel,04-komponenty-domenowe/evidence-panel.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/019-evidence-panel.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/FunnelStep,04-komponenty-domenowe/funnel-step.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/020-funnel-step.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/LineageGraph,04-komponenty-domenowe/lineage-graph.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/021-lineage-graph.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/MorningBrief,04-komponenty-domenowe/morning-brief.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/022-morning-brief.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/PairingFlow,04-komponenty-domenowe/pairing-flow.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/023-pairing-flow.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/PlanPerformance,04-komponenty-domenowe/plan-performance.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/024-plan-performance.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/RecommendationCard,04-komponenty-domenowe/recommendation-card.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/025-recommendation-card.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/ReconciliationPanel,04-komponenty-domenowe/reconciliation-panel.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/026-reconciliation-panel.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/ResultDrivers,04-komponenty-domenowe/result-drivers.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/027-result-drivers.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/SalesFunnel,04-komponenty-domenowe/sales-funnel.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/028-sales-funnel.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/SalesSources,04-komponenty-domenowe/sales-sources.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/029-sales-sources.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty domenowe/SyncTimeline,04-komponenty-domenowe/sync-timeline.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/030-sync-timeline.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/AlertDialog,04-komponenty-bazowe/komponenty/alertdialog.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/031-alertdialog.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/ApprovalPanel,04-komponenty-bazowe/komponenty/approvalpanel.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/032-approvalpanel.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/AssistantComposer,04-komponenty-bazowe/komponenty/assistantcomposer.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/033-assistantcomposer.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/BackgroundOperationItem,04-komponenty-bazowe/komponenty/backgroundoperationitem.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/034-backgroundoperationitem.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/BottomSheet,04-komponenty-bazowe/komponenty/bottomsheet.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/035-bottomsheet.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/BrandLockup,04-komponenty-bazowe/komponenty/brandlockup.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/036-brandlockup.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/BrandMark,04-komponenty-bazowe/komponenty/brandmark.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/037-brandmark.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/Breadcrumbs,04-komponenty-bazowe/komponenty/breadcrumbs.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/038-breadcrumbs.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/BulkActionBar,04-komponenty-bazowe/komponenty/bulkactionbar.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/039-bulkactionbar.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/Button,04-komponenty-bazowe/komponenty/button.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/040-button.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/042-checkbox.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/ColumnPicker,04-komponenty-bazowe/komponenty/columnpicker.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/043-columnpicker.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/Combobox,04-komponenty-bazowe/komponenty/combobox.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/044-combobox.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/CorrelationChart,05-wykresy-i-wizualizacje/komponenty/correlationchart.md,deprecated,Promoted to 15.06 / CorrelationChart runtime owner; legacy component backlog nie jest drugim ownerem Storybooka.,fixtures/storybook/046-correlationchart.json,promotedTo15_06|handoff,verify-no-legacy-story-owner|verify-15-06-runtime-owner,legacy-story-hidden|runtime-owner-15-06,promoted-to-15-06-runtime-owner,
10 Komponenty/DataStatusBanner,04-komponenty-bazowe/komponenty/datastatusbanner.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/047-datastatusbanner.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/DataTable,04-komponenty-bazowe/komponenty/datatable.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/048-datatable.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/DateRangePicker,04-komponenty-bazowe/komponenty/daterangepicker.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/049-daterangepicker.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/050-decisioncard.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/051-detailpanel.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/Dialog,04-komponenty-bazowe/komponenty/dialog.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/052-dialog.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/Drawer,04-komponenty-bazowe/komponenty/drawer.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/053-drawer.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/EmptyState,04-komponenty-bazowe/komponenty/emptystate.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/054-emptystate.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/ErrorState,04-komponenty-bazowe/komponenty/errorstate.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/055-errorstate.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/EvidencePanel,04-komponenty-bazowe/komponenty/evidencepanel.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/056-evidencepanel.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/FileInput,04-komponenty-bazowe/komponenty/fileinput.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/057-fileinput.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/058-filterbar.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
10 Komponenty/ForecastChart,05-wykresy-i-wizualizacje/komponenty/forecastchart.md,deprecated,Promoted to 15.07 / ForecastChart runtime owner; legacy component backlog nie jest drugim ownerem Storybooka.,fixtures/storybook/059-forecastchart.json,legacyHidden|promotedTo15_07|handoff,verify-legacy-story-hidden|verify-no-legacy-story-owner|verify-15-07-runtime-owner,legacy-story-hidden|runtime-owner-15-07,handoff-to-15-07-runtime-owner,
10 Komponenty/FunnelChart,05-wykresy-i-wizualizacje/komponenty/funnelchart.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/060-funnelchart.json,ready|loading|empty|error|noData|singlePoint|negativeValues,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-negativeValues,backlog-target-not-implemented,
10 Komponenty/IconButton,04-komponenty-bazowe/komponenty/iconbutton.md,backlog-target,"Specyfikacja targetu z fizycznym fixture; brak pliku story oznacza backlog, nie wdrożenie.",fixtures/storybook/061-iconbutton.json,ready|loading|empty|error,focus-first-interactive|exercise-component-interaction|verify-focus-restoration|verify-live-region|verify-keyboard-only,1440-light|1440-dark|768-reflow|390-mobile|200-percent-zoom|reduced-motion|state-error,backlog-target-not-implemented,
